Project_ID,Project_Type,Area_sqft,Floors,Complexity,Duration_Months,Location,Project_Cost
P001,Office,6794,1,Low,7,Rural,227133.0
P002,Retail,5514,1,Low,8,Rural,183612.0
P003,Residential,7432,4,High,5,Suburban,316684.0
P004,Office,5474,3,Medium,10,Rural,247495.0
P005,Office,6892,5,Low,3,Suburban,270703.0
P006,Retail,4561,3,Medium,8,Suburban,234075.0
P007,Residential,3278,4,Medium,6,Suburban,177866.0
P008,Residential,7184,4,Low,3,Urban,254182.0
P009,Office,4099,3,Medium,9,Suburban,217310.0
P010,Commercial,7278,4,Low,11,Suburban,306482.0
P011,Office,1200,3,Low,6,Urban,134319.0
P012,Office,6959,2,Medium,6,Rural,262939.0
P013,Office,5875,3,Medium,8,Urban,272036.0
P014,Office,4104,3,Medium,5,Suburban,208355.0
P015,Retail,5598,4,Medium,8,Suburban,251212.0
P016,Residential,3454,4,High,9,Suburban,209543.0
P017,Retail,4645,1,Medium,12,Urban,226549.0
P018,Retail,6847,1,Medium,12,Rural,256610.0
P019,Retail,1804,2,Medium,5,Suburban,137302.0
P020,Office,7242,1,Low,9,Urban,247977.0
P021,Commercial,3731,3,Medium,5,Urban,204267.0
P022,Residential,6991,4,Low,4,Suburban,273845.0
P023,Commercial,3773,1,Low,12,Urban,197850.0
P024,Retail,2570,1,High,6,Urban,172206.0
P025,Retail,6056,2,High,10,Suburban,277479.0
P026,Commercial,7756,2,Medium,11,Urban,337985.0
P027,Commercial,6581,3,Medium,9,Suburban,302505.0
P028,Commercial,3690,4,Low,3,Urban,183455.0
P029,Retail,4840,2,Low,5,Suburban,177895.0
P030,Retail,2028,1,Low,11,Urban,119566.0
P031,Residential,1502,4,Medium,3,Suburban,122079.0
P032,Residential,7910,4,Medium,11,Urban,324299.0
P033,Retail,5493,1,Medium,10,Suburban,226745.0
P034,Commercial,1870,2,Low,3,Urban,114445.0
P035,Commercial,7938,1,High,8,Rural,280776.0
P036,Residential,5488,4,Medium,7,Suburban,233552.0
P037,Retail,1206,5,Medium,8,Rural,158312.0
P038,Residential,6134,5,Medium,12,Suburban,295254.0
P039,Residential,6977,3,Medium,7,Urban,293483.0
P040,Office,2484,1,Low,8,Rural,122777.0
P041,Office,1863,1,Medium,7,Urban,147857.0
P042,Office,3790,3,Medium,7,Urban,221849.0
P043,Commercial,1563,3,Low,6,Urban,138106.0
P044,Retail,6116,3,Low,5,Suburban,237778.0
P045,Retail,5191,4,Low,5,Suburban,229362.0
P046,Retail,7019,1,Low,6,Urban,236383.0
P047,Retail,2757,4,High,11,Rural,221346.0
P048,Office,7628,3,Medium,4,Urban,298312.0
P049,Commercial,7374,1,Medium,11,Urban,295220.0
P050,Commercial,7892,4,Low,3,Urban,294827.0
P051,Office,2678,4,Medium,3,Urban,176156.0
P052,Commercial,4242,3,Medium,7,Urban,206085.0
P053,Office,5636,1,Low,8,Suburban,212452.0
P054,Retail,2059,3,Medium,8,Suburban,181532.0
P055,Office,7668,1,Medium,5,Urban,268514.0
P056,Retail,6279,5,Medium,9,Urban,328737.0
P057,Retail,2722,2,Medium,11,Urban,194193.0
P058,Residential,4314,2,Low,12,Rural,173114.0
P059,Office,4157,2,Medium,10,Urban,218198.0
P060,Residential,6915,3,Medium,8,Suburban,266524.0
P061,Office,3625,5,Medium,10,Rural,237687.0
P062,Office,3729,1,High,7,Suburban,201395.0
P063,Residential,7700,4,Medium,10,Rural,307320.0
P064,Residential,2597,1,Low,12,Urban,146507.0
P065,Office,4060,4,Low,6,Suburban,201380.0
P066,Commercial,3693,1,Medium,12,Suburban,198589.0
P067,Retail,5891,5,Low,10,Suburban,263206.0
P068,Residential,6147,4,Medium,12,Urban,268153.0
P069,Retail,6739,3,High,4,Urban,299612.0
P070,Commercial,4627,1,Medium,7,Urban,198663.0
P071,Commercial,2363,1,Medium,11,Suburban,156387.0
P072,Commercial,2981,4,Medium,6,Rural,181126.0
P073,Residential,6450,3,Medium,8,Suburban,262684.0
P074,Commercial,2663,3,Medium,3,Urban,192222.0
P075,Residential,2529,5,High,11,Rural,213275.0
P076,Commercial,3038,3,Medium,3,Urban,192674.0
P077,Retail,6592,3,High,7,Urban,290501.0
P078,Retail,4302,3,High,6,Urban,234715.0
P079,Office,3237,2,Low,5,Suburban,151632.0
P080,Retail,6504,5,Low,8,Urban,281897.0
P081,Office,6496,1,Low,4,Suburban,217375.0
P082,Retail,2306,4,Low,5,Rural,136359.0
P083,Residential,5029,1,Low,7,Urban,183991.0
P084,Retail,7776,5,Medium,11,Suburban,341919.0
P085,Office,3675,4,Low,4,Urban,186329.0
P086,Office,6068,5,Medium,12,Urban,300405.0
P087,Commercial,6864,3,High,10,Urban,306766.0
P088,Residential,2282,4,Low,4,Urban,161205.0
P089,Retail,1709,3,High,7,Suburban,156760.0
P090,Commercial,6575,1,Low,9,Urban,259983.0
P091,Retail,6530,1,Low,10,Suburban,240003.0
P092,Retail,5744,4,Medium,3,Suburban,258788.0
P093,Commercial,5413,4,Medium,8,Suburban,260225.0
P094,Commercial,4748,5,High,3,Suburban,253225.0
P095,Commercial,6353,5,Medium,4,Suburban,270268.0
P096,Commercial,5779,3,High,3,Urban,246629.0
P097,Commercial,1663,4,Low,7,Urban,162189.0
P098,Retail,2998,1,Low,12,Rural,150705.0
P099,Commercial,4445,5,Medium,11,Suburban,263842.0
P100,Residential,4743,5,High,8,Urban,252277.0
P101,Office,6727,1,High,3,Urban,279563.0
P102,Commercial,2495,5,Medium,3,Urban,189393.0
P103,Commercial,4304,3,Medium,4,Rural,191531.0
P104,Retail,4763,4,Medium,11,Urban,247869.0
P105,Commercial,6232,1,Medium,5,Urban,248584.0
P106,Commercial,2853,4,High,3,Urban,198478.0
P107,Commercial,6616,5,High,7,Urban,331030.0
P108,Retail,7585,5,Medium,9,Rural,315919.0
P109,Commercial,5659,1,Medium,8,Urban,253548.0
P110,Office,2291,3,Medium,3,Rural,144035.0
P111,Retail,4581,2,Low,7,Urban,186129.0
P112,Office,4457,1,High,7,Rural,205914.0
P113,Retail,2636,2,Medium,8,Urban,158297.0
P114,Commercial,4696,2,High,5,Urban,230221.0
P115,Office,3999,3,Medium,7,Suburban,193348.0
P116,Retail,4152,2,High,9,Rural,190687.0
P117,Residential,1698,2,Medium,7,Rural,106778.0
P118,Commercial,3160,3,Low,7,Suburban,187289.0
P119,Retail,5097,2,High,7,Rural,249990.0
P120,Residential,5737,2,Low,12,Urban,227689.0
P121,Retail,7363,2,Medium,12,Rural,289936.0
P122,Residential,6685,1,High,5,Urban,255179.0
P123,Commercial,1854,1,High,3,Suburban,125843.0
P124,Office,6855,1,Medium,7,Rural,251384.0
P125,Residential,7528,3,Medium,11,Suburban,294548.0
P126,Retail,4474,5,Medium,3,Suburban,244030.0
P127,Commercial,6757,2,Low,5,Urban,242578.0
P128,Residential,6249,2,Medium,6,Rural,251185.0
P129,Retail,6172,3,Medium,3,Urban,270217.0
P130,Retail,2707,2,Medium,3,Rural,135496.0
P131,Retail,3777,1,Medium,10,Suburban,178439.0
